,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
873,Ucluelet,CA,48.94,-125.55,12.0,100,20,1.01
874,Guayaramerin,BO,-10.82,-65.36,30.0,51,0,1.0
875,Katsina,NG,12.99,7.6,33.67,57,44,1.96
876,Vostok,RU,46.45,135.83,9.07,79,44,1.01
877,Bolobo,CD,-2.17,16.23,31.32,48,0,1.26
878,Guilin,CN,25.28,110.29,24.0,100,90,2.0
879,Pierre,US,44.37,-100.35,27.0,65,1,5.7
880,Yar-Sale,RU,66.83,70.83,13.67,85,88,2.26
881,Suvorovo,BG,43.33,27.59,21.0,88,40,4.6
882,Joao Pinheiro,BR,-17.74,-46.17,26.97,60,0,1.31
883,Udarnyy,RU,54.34,42.86,20.67,76,48,1.86
884,Berea,US,41.37,-81.85,22.22,49,40,3.1
885,Pogradec,AL,40.9,20.66,23.0,56,75,2.6
886,Ayorou,NE,14.73,0.92,36.22,53,8,2.06
887,Ahipara,NZ,-35.17,173.16,13.32,100,92,10.41
888,Pyapon,MM,16.29,95.68,24.12,100,92,4.26
889,Montepuez,MZ,-13.13,39.0,21.67,77,92,4.21
890,Novoshcherbinovskaya,RU,46.48,38.65,29.77,62,8,3.91
891,Garden City,US,40.73,-73.63,23.0,49,1,1.5
892,Zatoka,UA,49.85,23.68,19.0,77,75,2.0
893,Shelby,US,48.51,-111.86,15.0,44,1,2.1
894,Alpena,US,45.06,-83.43,24.35,47,1,5.1
895,Bambanglipuro,ID,-7.95,110.28,20.27,96,0,1.36
896,Farafangana,MG,-22.82,47.83,21.52,100,92,5.96
897,Nuuk,GL,64.17,-51.74,7.0,81,40,4.1
898,Ketchikan,US,55.34,-131.65,14.0,87,90,1.21
899,Mantua,CU,22.29,-84.28,28.62,83,56,3.21
900,Kango,GA,0.19,10.1,29.12,76,0,1.41
901,Riyadh,SA,24.63,46.72,43.0,6,0,3.6
902,Humboldt,CA,52.21,-105.12,18.82,55,20,4.91
903,Creel,MX,27.75,-107.63,18.12,58,44,1.46
904,Kavkazskiy,RU,45.73,39.01,32.52,29,44,2.36
905,George,ZA,-33.96,22.46,22.0,58,0,4.1
906,Mogzon,RU,51.74,111.97,9.02,84,92,5.11
907,Astaneh-ye Ashrafiyeh,IR,37.26,49.94,28.0,78,90,1.11
908,Christchurch,NZ,-43.53,172.64,5.0,80,8,1.5
909,Qingdao,CN,36.09,120.35,23.0,88,75,3.0
910,Solnechnyy,RU,50.72,136.64,16.12,88,20,1.06
911,Ust-Kishert,RU,57.36,57.24,20.67,84,64,1.96
912,Kastrakion,GR,39.72,21.62,25.0,50,40,6.2
913,Caborca,MX,30.58,-111.1,27.17,50,0,1.81
914,Miraflores,CO,5.2,-73.14,15.27,71,56,1.16
915,Joshimath,IN,30.57,79.57,2.97,94,12,0.06
916,Gimli,CA,50.63,-96.99,24.62,73,92,4.31
917,Eyl,SO,7.98,49.82,30.97,59,8,10.06
918,Yingkou,CN,40.67,122.24,21.02,99,92,5.11
919,Biltine,TD,14.53,20.93,34.17,40,0,4.81
920,Pravdinsk,RU,54.45,21.01,20.0,49,0,7.0
921,Gardelegen,DE,52.53,11.39,25.0,41,0,4.1
922,Kjopsvik,NO,68.1,16.37,14.0,67,20,2.1
923,Dhidhdhoo,MV,6.88,73.1,28.87,97,76,7.91
924,Yerofey Pavlovich,RU,53.97,121.97,13.62,99,100,3.96
925,Yarada,IN,17.65,83.27,29.47,95,64,10.26
926,Kombissiri,BF,12.07,-1.34,32.0,46,0,3.1
927,Cortez,US,37.35,-108.58,18.0,59,1,1.5
928,Canto do Buriti,BR,-8.11,-42.94,30.92,40,12,5.21
929,Adre,TD,13.47,22.2,31.72,46,64,3.46
930,Yertarskiy,RU,56.79,64.3,27.02,46,92,5.66
931,Gunjur,GM,13.18,-16.76,28.0,83,75,2.1
932,Micco,US,27.85,-80.5,28.2,74,1,3.1
933,Swellendam,ZA,-34.02,20.44,25.0,25,0,3.1
934,Sinnamary,GF,5.38,-52.96,29.02,87,64,5.16
935,Dergachi,RU,51.24,48.77,29.27,35,64,6.46
936,Wageningen,SR,5.77,-56.69,28.17,96,0,4.91
937,Port Moresby,PG,-9.47,147.16,24.0,94,75,4.1
938,Oosterhout,NL,51.65,4.86,25.66,34,20,3.6
939,Martinsicuro,IT,42.89,13.92,28.0,48,0,6.2
940,Soure,BR,-0.72,-48.52,29.12,83,0,3.66
941,Banepa,NP,27.63,85.52,23.0,88,40,3.1
942,Bristol,US,36.59,-82.19,21.39,60,1,4.1
943,Nurota,UZ,40.56,65.69,39.0,10,0,4.1
944,Teya,RU,60.37,92.63,12.87,74,0,1.31
945,Kulachi,PK,31.93,70.46,31.97,36,88,0.86
946,Cairns,AU,-16.92,145.77,20.0,72,20,4.6
947,Tilichiki,RU,60.47,166.1,11.02,82,12,1.56
948,Darhan,MN,49.49,105.92,10.52,85,36,1.21
949,Ambilobe,MG,-13.19,49.05,25.97,43,36,5.76
950,Wuwei,CN,37.93,102.64,11.27,90,56,1.56
951,Minggang,CN,32.45,114.03,26.52,86,100,2.66
952,Manokwari,ID,-0.87,134.08,26.32,100,92,3.86
953,Mandalgovi,MN,45.76,106.27,12.87,37,0,4.46
954,Great Bend,US,38.36,-98.78,24.35,64,1,5.7
955,Steyregg,AT,48.29,14.37,25.0,36,75,5.1
956,Krasnomayskiy,RU,55.0,82.52,21.0,52,0,4.0
957,Piombino,IT,42.93,10.52,28.62,69,20,1.86
958,Comayagua,HN,14.45,-87.64,23.06,68,75,8.2
959,Alice Springs,AU,-23.7,133.88,4.0,51,0,3.6
960,Bonthe,SL,7.53,-12.5,26.67,88,80,1.56
961,Lekoni,GA,-1.58,14.26,29.07,57,0,4.21
962,Askino,RU,56.09,56.58,22.62,73,56,3.21
963,Jupiter,US,26.93,-80.09,29.26,62,75,2.1
964,Sanmenxia,CN,34.77,111.19,21.62,90,76,1.31
965,Baherden,TM,38.44,57.43,38.62,16,20,2.11
966,Union,PH,12.9,124.09,27.62,100,76,1.96
967,Sol-Iletsk,RU,51.16,55.0,29.87,29,0,4.41
968,Kiruna,SE,67.86,20.23,19.0,37,0,1.0
969,Havoysund,NO,71.0,24.66,15.0,67,0,5.1
970,Pozo Colorado,PY,-23.49,-58.8,13.72,88,92,6.26
971,Sabya,SA,17.15,42.62,35.0,53,40,8.7
972,Grants,US,35.15,-107.85,21.0,49,1,4.1
973,Palauig,PH,15.44,119.9,24.12,100,80,2.56
974,Maralal,KE,1.1,36.7,19.37,79,68,1.21
975,Rudnogorsk,RU,57.27,103.75,9.97,99,92,2.56
976,Lakatoro,VU,-16.11,167.42,23.17,96,20,2.96
977,Thunder Bay,CA,48.41,-89.26,19.0,77,75,3.1
978,Molepolole,BW,-24.41,25.52,16.47,55,0,2.06
979,Novyy Urengoy,RU,66.08,76.63,19.52,94,92,4.81
980,Sernur,RU,56.93,49.15,23.47,78,56,1.96
981,Lere,NG,10.39,8.57,23.17,100,20,1.66
982,Valdez,EC,-1.98,-79.62,23.0,78,90,4.6
983,Alugan,PH,12.22,125.48,25.07,100,68,1.61
984,Le Pradet,FR,46.44,1.83,29.0,37,0,5.7
985,Visby,SE,57.64,18.3,20.0,45,0,4.1
986,Stykkisholmur,IS,65.08,-22.73,9.37,99,92,8.36
987,Antofagasta,CL,-23.65,-70.4,15.0,67,75,2.1
988,Camocim,BR,-2.9,-40.84,29.57,74,8,5.16
989,Hue,VN,16.47,107.58,29.0,83,20,1.0
990,Srandakan,ID,-7.94,110.25,20.27,96,0,1.36
991,Sao Jose da Coroa Grande,BR,-8.9,-35.15,24.67,94,92,4.41
992,Natal,BR,-5.81,-35.21,28.0,61,40,6.7
993,Mamakan,RU,57.82,114.02,12.42,98,92,0.96
994,Tutoia,BR,-2.76,-42.27,29.0,70,75,6.7
995,Katima Mulilo,NA,-17.5,24.28,21.52,44,20,3.26
996,Valparaiso,CL,-33.04,-71.63,11.94,71,0,2.1
997,Paldiski,EE,59.35,24.08,20.0,68,40,5.7
998,Maungatapere,NZ,-35.76,174.21,12.92,90,64,9.76
999,Tahoua,NE,14.89,5.26,36.42,46,20,0.91
